"SKU","STORE","COST","RETAIL"
6039600,107,45.08,49.00
6829971,303,34.20,58.50
554761,103,14.03,10.50
2029261,1702,34.37,39.99
6689654,107,17.18,18.67
4559064,2502,56.42,61.33
4353289,107,9.31,20.00
3728786,7007,17.00,42.00
1156996,3902,18.00,7.65
790451,5704,11.90,19.00
5681171,202,28.66,31.16
4688043,307,6.00,4.40
3849180,107,13.65,16.25
1037744,409,33.57,36.49
5598808,704,13.50,22.50
7521278,7904,8.00,5.00
2467708,107,16.50,21.00
947734,102,29.75,29.75
3108443,409,39.00,44.50
416259,107,35.41,38.49
2269580,5102,38.00,85.00
3227226,103,3.84,5.00
7500621,2407,22.50,45.00
4647667,3707,11.75,19.99
9436305,107,27.76,14.17
1228898,103,25.50,32.00
2147779,203,15.75,9.50
1780092,102,5.40,39.50
1637899,103,16.76,18.22
6287097,203,12.50,9.89
83116,103,7.85,6.25
6267378,103,5.75,6.46
3236484,407,5.75,3.24
7936050,209,27.00,26.46
3569158,909,22.50,75.00
829624,309,7.60,19.00
383530,409,34.75,17.37
218131,103,9.00,6.25
4631639,402,9.25,8.00
1301473,107,20.50,18.75
8939843,704,90.00,199.00
9786822,103,4.20,2.46
9317053,107,40.37,25.58
9127041,202,18.70,19.99
6898121,409,11.20,21.00
696689,103,3.40,2.00
328533,2407,32.20,35.00
8902485,309,5.53,6.01
5047818,107,12.50,8.50
4788188,103,21.94,23.85
6781418,1502,11.49,12.48
4410305,504,42.50,21.25
8456595,203,61.78,67.16
2142885,107,14.75,14.75
7767837,2503,25.53,17.25
3734761,103,20.95,22.77
5468157,107,10.25,5.50
8681824,1203,15.00,19.00
9706743,504,35.72,19.50
2399436,1004,49.00,25.00
9730418,304,35.00,74.45
267031,509,11.90,6.74
6666122,103,5.50,5.99
5839331,8002,34.00,19.26
318541,103,14.73,16.02
9330471,102,19.90,11.25
9822508,209,14.10,7.99
1247822,107,13.00,7.00
6237606,103,24.40,17.50
6139949,309,12.80,38.00
6908521,107,40.27,19.99
4899528,1104,26.00,59.00
6548950,7402,41.85,54.50
9436244,5904,5.00,3.75
456309,103,18.75,22.50
7433287,103,16.75,35.00
8847692,202,11.00,7.25
3559574,407,3.50,9.99
6697648,407,9.50,5.50
7037500,6202,37.00,85.00
3456085,7104,22.75,12.50
8548216,304,35.24,58.96
8130100,204,16.50,35.00
8358612,2602,26.25,49.75
1166601,209,36.22,39.37
4836619,2209,25.00,50.00
781744,2809,7.49,8.14
2177837,203,32.00,39.50
6770223,1302,36.00,19.75
6246864,1004,11.60,29.00
9466832,409,34.80,28.87
99022,7007,50.00,105.00
8749301,802,29.75,59.50
9899243,6002,13.00,12.75
352351,402,9.07,6.25
1663532,409,21.33,23.19
8708456,203,9.00,10.00
9366830,209,48.33,32.00
7999510,5502,25.25,59.00
1116029,103,31.73,17.04
2978404,604,18.50,15.60
2506086,204,8.19,9.00
3737453,203,26.00,23.55
4776667,203,13.50,8.89
6456942,103,3.44,2.00
7774159,307,21.00,11.25
4147535,107,8.80,5.50
1899365,209,57.60,128.00
1134280,504,40.60,29.50
6700544,2609,26.22,28.50
1599420,1204,13.72,42.00
389852,202,38.98,42.37
5347845,2209,36.50,74.00
1377413,103,14.50,14.99
1689899,504,24.00,55.00
1918411,4004,15.50,24.50
2160606,4302,54.50,99.99
53018,102,9.50,21.38
9530088,107,16.92,39.00
2838699,1607,31.98,39.00
3097126,8109,54.74,59.50
3401496,2109,159.00,175.00
2551968,302,5.36,5.82
4040151,504,114.00,230.00
9830502,1609,11.40,28.50
490996,304,28.77,21.57
5739676,2004,17.18,18.68
8800485,402,15.00,10.51
5271049,5604,11.50,1.00
5797426,103,32.50,32.50
6652990,7002,22.76,12.50
6569016,3002,29.79,32.38
2214869,209,18.60,11.34
7600644,509,10.60,26.50
8430922,1702,3.36,2.00
7068904,509,23.05,36.75
7187218,8409,17.98,22.00
4449560,1304,54.66,59.42
8653602,209,39.75,19.87
9549073,409,20.80,29.00
329961,407,11.00,24.00
7801994,103,17.10,9.75
1700768,409,21.48,23.35
7677644,404,22.99,24.99
4220579,203,167.64,182.22
7133159,209,20.00,30.00
8629927,1007,18.00,9.75
4951793,309,10.29,6.13
1479047,307,10.50,12.49
8280634,302,11.00,29.00
2427639,1609,26.98,64.00
8567834,402,39.89,43.36
7439691,203,14.20,29.00
1460266,304,15.00,27.00
514692,802,10.80,6.25
3548135,502,30.23,19.75
686596,504,78.40,50.00
6618467,2104,40.74,44.29
78794,102,44.78,25.00
3633047,302,17.25,22.19
9863252,204,9.26,10.07
6469769,1007,16.94,10.01
3318012,1404,19.68,17.00
4404168,4109,45.54,49.50
214278,204,15.00,16.71
3312914,707,11.50,14.00
4151308,1403,76.00,180.00
2538775,204,8.18,14.99
9998736,102,12.25,35.00
9407635,103,29.72,32.30
4660515,203,8.50,24.00
5552499,209,2.45,1.44
6239177,603,17.85,22.00
3436326,307,10.00,8.50
4426905,309,3.50,5.99
