"STORE","CITY","STATE","ZIP","MSA","MSA_NAME","MSA_POP","CENSUS_REGION","LATITUDE","LONGITUDE","MSA_INCOME","MSA_HIGH","MSA_BACH"
3509,"POCATELLO                               ","ID  ","83202     ",6340,"POCATELLO, ID                                                                   ",87609,"WEST                                                        ",42.96866,112.43182,24820,87.5,24.9
3303,"HUTCHINSON                              ","KS  ","67501     ",0,"KS NONMETROPOLITAN AREA                                                         ",40787,"MIDWEST                                                     ",38.034292,97.92382,32645,82.3,17.2
8202,"HOUMA                                   ","LA  ","70364     ",3350,"HOUMA-BAYOU CANE-THIBODAUX, LA                                                  ",201137,"SOUTH                                                       ",29.626988,90.72076,26900,66.7,12.3
704,"NORTH LITTLE ROCK                       ","AR  ","72116     ",4400,"LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR                                        ",666401,"SOUTH                                                       ",34.799541,92.24764,32399,83.4,24.8
4104,"CARY                                    ","NC  ","27511     ",6640,"RALEIGH-CARY, NC                                                                ",1047629,"SOUTH                                                       ",35.755651,78.77508,35186,85.4,38.9
5104,"CHARLOTTE                               ","NC  ","28212     ",1520,"CHARLOTTE-GASTONIA-CONCORD, NC-SC                                               ",1651568,"SOUTH                                                       ",35.189544,80.74742,36151,80.8,27.1
6202,"DOUGLASVILLE                            ","GA  ","30135     ",520,"ATLANTA-SANDY SPRINGS-MARIETTA, GA                                              ",5278904,"SOUTH                                                       ",33.701554,84.73756,35009,84.0,32.0
7403,"BOARDMAN                                ","OH  ","44512     ",9320,"YOUNGSTOWN-WARREN-BOARDMAN, OH-PA                                               ",570704,"MIDWEST                                                     ",40.850683,81.43773,27720,82.1,15.1
3407,"AUSTIN                                  ","TX  ","78752     ",640,"AUSTIN-ROUND ROCK, TX                                                           ",1598161,"SOUTH                                                       ",30.332506,97.70571,34005,84.8,36.7
4807,"LONGVIEW                                ","TX  ","75605     ",4420,"LONGVIEW, TX                                                                    ",203611,"SOUTH                                                       ",32.557684,94.74353,29880,78.4,16.8
