"STORE","CITY","STATE","ZIP"
9708,"BATON ROUGE                             ","LA  ","70802     "
67,"DALLAS                                  ","TX  ","75207     "
2607,"LAREDO                                  ","TX  ","78041     "
1004,"MEMPHIS                                 ","TN  ","38117     "
7804,"GLEN ALLEN                              ","VA  ","23060     "
6904,"WILMINGTON                              ","NC  ","28403     "
8306,"LITTLE ROCK                             ","AR  ","72201     "
4207,"WICHITA FALLS                           ","TX  ","76308     "
7604,"RICHMOND                                ","VA  ","23233     "
1000,"LITTLE ROCK                             ","AR  ","72201     "
103,"ST LOUIS                                ","MO  ","63117     "
9512,"BATON ROUGE                             ","LA  ","70802     "
7,"FORT WORTH                              ","TX  ","76137     "
902,"LAKELAND                                ","FL  ","33809     "
4209,"LAS VEGAS                               ","NV  ","89107     "
403,"FLORISSANT                              ","MO  ","63034     "
6113,"CLEVELAND                               ","OH  ","44113     "
107,"HURST                                   ","TX  ","76053     "
5404,"DECATUR                                 ","AL  ","35601     "
4303,"OMAHA                                   ","NE  ","68144     "
8407,"LAKE JACKSON                            ","TX  ","77566     "
1507,"GARLAND                                 ","TX  ","75040     "
7004,"NORFOLK                                 ","VA  ","23510     "
5102,"FT. LAUDERDALE                          ","FL  ","33304     "
8104,"TULSA                                   ","OK  ","74135     "
4302,"TALLAHASSEE                             ","FL  ","32301     "
5604,"HUNTSVILLE                              ","AL  ","35806     "
7207,"HOUSTON                                 ","TX  ","77060     "
4704,"HIGH POINT                              ","NC  ","27262     "
8803,"LEXINGTON                               ","KY  ","40504     "
8507,"TEXAS CITY                              ","TX  ","77591     "
207,"ARLINGTON                               ","TX  ","76011     "
813,"ST. LOUIS                               ","MO  ","63101     "
2204,"GOODLETTSVILLE                          ","TN  ","37072     "
1707,"DALLAS                                  ","TX  ","75237     "
5206,"LEE'S SUMMIT                            ","MO  ","64063     "
7203,"AKRON                                   ","OH  ","44322     "
1800,"TEMPE                                   ","AZ  ","85281     "
7500,"LOUISVILLE                              ","KY  ","40299     "
4202,"PENSACOLA                               ","FL  ","32504     "
2,"ST. PETERSBURG                          ","FL  ","33710     "
3509,"POCATELLO                               ","ID  ","83202     "
3303,"HUTCHINSON                              ","KS  ","67501     "
8202,"HOUMA                                   ","LA  ","70364     "
704,"NORTH LITTLE ROCK                       ","AR  ","72116     "
2107,"SAN ANTONIO                             ","TX  ","78256     "
4104,"CARY                                    ","NC  ","27511     "
5104,"CHARLOTTE                               ","NC  ","28212     "
6202,"DOUGLASVILLE                            ","GA  ","30135     "
6900,"GILBERT                                 ","AZ  ","85233     "
3407,"AUSTIN                                  ","TX  ","78752     "
3007,"WACO                                    ","TX  ","76710     "
4807,"LONGVIEW                                ","TX  ","75605     "
500,"LOUISVILLE                              ","KY  ","40218     "
1819,"TUCSON                                  ","AZ  ","85716     "
8402,"METAIRIE                                ","LA  ","70002     "
7503,"NILES                                   ","OH  ","44446     "
4702,"MARY ESTHER                             ","FL  ","32569     "
8004,"COLONIAL HEIGHTS                        ","VA  ","23834     "
7104,"VIRGINIA BEACH                          ","VA  ","23452     "
8109,"LITTLETON                               ","CO  ","80124     "
8902,"HATTIESBURG                             ","MS  ","39402     "
900,"GILBERT                                 ","AZ  ","85233     "
3200,"VALDOSTA                                ","GA  ","31601     "
7302,"AUBURN                                  ","AL  ","36830     "
5402,"BOYNTON BEACH                           ","FL  ","33426     "
1703,"ST. JOSEPH                              ","MO  ","64506     "
6704,"SPARTANBURG                             ","SC  ","29301     "
9304,"OKLAHOMA CITY                           ","OK  ","73118     "
9800,"LITTLE ROCK                             ","AR  ","72201     "
1002,"PORT RICHEY                             ","FL  ","34668     "
3600,"GARDENA                                 ","CA  ","90248     "
3204,"SHREVEPORT                              ","LA  ","71104     "
9106,"LOS ANGELES                             ","CA  ","90079     "
6902,"MACON                                   ","GA  ","31206     "
609,"PHOENIX                                 ","AZ  ","85033     "
9506,"NEW YORK                                ","NY  ","10036     "
2602,"ALTAMONTE SPRINGS                       ","FL  ","32701     "
8206,"LITTLE ROCK                             ","AR  ","72201     "
700,"FT. WORTH                               ","TX  ","76111     "
5200,"MOBILE                                  ","AL  ","99999     "
4802,"PANAMA CITY                             ","FL  ","32405     "
1400,"GILBERT                                 ","AZ  ","85233     "
9808,"GILBERT                                 ","AZ  ","85233     "
1109,"PRESCOTT                                ","AZ  ","86303     "
2900,"GILBERT                                 ","AZ  ","85233     "
8603,"LEXINGTON                               ","KY  ","40502     "
7702,"SAVANNAH                                ","GA  ","31419     "
6400,"MABELVALE                               ","AR  ","72103     "
3209,"SANDY                                   ","UT  ","84070     "
4307,"LUBBOCK                                 ","TX  ","79414     "
603,"FAIRVIEW HEIGHTS                        ","IL  ","62208     "
9900,"LITTLE ROCK                             ","AR  ","72201     "
2909,"LOGAN                                   ","UT  ","84341     "
60,"ASPEN                                   ","CO  ","81611     "
6002,"ALPHARETTA                              ","GA  ","30022     "
2503,"KANSAS CITY                             ","MO  ","64155     "
3709,"MISSOULA                                ","MT  ","59801     "
4603,"CORALVILLE                              ","IA  ","52241     "
1804,"JACKSON                                 ","MS  ","39209     "
3207,"KILLEEN                                 ","TX  ","76543     "
9204,"OKLAHOMA CITY                           ","OK  ","73134     "
2203,"OVERLAND PARK                           ","KS  ","66214     "
2600,"GARDENA                                 ","CA  ","90248     "
7903,"TOLEDO                                  ","OH  ","43606     "
4004,"RALEIGH                                 ","NC  ","27616     "
104,"CHARLOTTE                               ","NC  ","28216     "
2304,"ANTIOCH                                 ","TN  ","37013     "
7800,"FT WORTH                                ","TX  ","76137     "
9409,"COLORADO SPRINGS                        ","CO  ","80920     "
2700,"FT. WORTH                               ","TX  ","76137     "
2904,"KNOXVILLE                               ","TN  ","37924     "
9909,"CHEYENNE                                ","WY  ","82009     "
4109,"LAS VEGAS                               ","NV  ","89109     "
1602,"NAPLES                                  ","FL  ","34102     "
8504,"BARTLESVILLE                            ","OK  ","74006     "
907,"DENTON                                  ","TX  ","76205     "
3102,"JACKSONVILLE                            ","FL  ","32225     "
4204,"CHAPEL HILL                             ","NC  ","27514     "
1104,"MEMPHIS                                 ","TN  ","38133     "
3604,"ALEXANDRIA                              ","LA  ","71301     "
1404,"VICKSBURG                               ","MS  ","39180     "
7567,"HOUSTON                                 ","TX  ","77055     "
502,"ST PETERSBURG                           ","FL  ","33710     "
2004,"TULLAHOMA                               ","TN  ","37388     "
8519,"LAKEWOOD                                ","CO  ","80226     "
1909,"SIERRA VISTA                            ","AZ  ","85635     "
5903,"RICHMOND                                ","IN  ","47374     "
2307,"SAN ANTONIO                             ","TX  ","78238     "
7102,"MONTGOMERY                              ","AL  ","36117     "
8302,"KENNER                                  ","LA  ","70065     "
3003,"WICHITA                                 ","KS  ","67207     "
6304,"MYRTLE BEACH                            ","SC  ","29577     "
6303,"EUCLID                                  ","OH  ","44132     "
4909,"RENO                                    ","NV  ","89511     "
204,"HOT SPRINGS                             ","AR  ","71913     "
7403,"BOARDMAN                                ","OH  ","44512     "
6004,"HUNTSVILLE                              ","AL  ","35801     "
3100,"SALISBURY                               ","NC  ","28146     "
